Course,Instructor1Name,Workload,Accessibility,Delivery,Difficulty,Cnt
CBMF4761,"PE'ER, ITSIK",3.651096614227626,3.3226925312181277,3.073207756384026,3.033185349033962,428
COMS4111,Donald F Ferguson,4.366546110910733,4.552926106592421,3.6109295985767123,4.565765593815006,474
COMS4111,"WU, EUGENE",4.431690054995681,4.441173186748026,3.242992579964442,3.74224389075417,413
COMS4111,"BILIRIS, ALEXANDROS",4.776559798933568,4.03504404401766,4.470619708724733,4.302560082031816,332
COMS4112,"ROSS, KENNETH A",3.17823476720461,3.469162027742624,4.9200674321057996,4.030742452463208,240
COMS4113,"GEAMBASU, ROXANA",3.7850710758150266,4.977789300025052,3.4758943457051226,4.447051693307867,321
COMS4115,"GU, RONGHUI",3.0088500580152777,4.712270312143413,4.738062846264404,3.9449582255082194,230
COMS4118,"LEE, JAE W",4.714584539486928,4.136149009136715,4.098495994451659,4.553445340047905,223
COMS4170,"CHILTON, LYDIA",3.4096040367576026,3.9292699698266498,3.690572950591615,4.84605423410002,319
COMS4172,"FEINER, STEVEN K",3.3196386597567002,3.1025799379575973,4.270240589292701,4.249120039409124,254
COMS4182,"BELLOVIN, STEVEN M",4.5051488268990525,3.2425050752151763,3.9045040284174477,4.625071626506514,383
COMS4232,"ANDONI, ALEXANDR",3.94963993864116,4.677565613582576,3.0736108984169874,4.453025499547836,384
COMS4236,"SERVEDIO, ROCCO",4.7547349153541605,3.9472070513288173,3.5869189329093594,3.2114932105531437,398
COMS4261,"MALKIN, TAL",3.9249175987848384,4.365385451640607,4.156738349463692,3.777629377182582,225
COMS4701,"DEAR, TONY B",4.327707364948285,4.332367986319822,3.481696429967033,3.154713576122223,430
COMS4705,"YU, ZHOU",4.917677435017333,3.0220979721262182,4.465811443455076,3.3429125789814798,218
COMS4705,"BENAJIBA, YASSINE",3.1496127092388058,3.28595679208575,4.338475537309298,4.209064869164008,334
COMS4721,"HSU, DANIEL",3.4878531937678607,4.537788918220938,4.604451668699914,3.3752567263819193,291
COMS4732,"VONDRICK, CARL",4.600599174810477,4.020141846461695,3.6325342198176607,3.2571739241127027,410
COMS4733,"SONG, SHURAN",3.091017888085826,4.996241318168419,4.803652094133321,3.8962717738522845,259
COMS4762,"KNOWLES, DAVID A",3.815406780602408,4.487910256092296,3.540582283353851,4.934927172016044,375
COMS4771,"VERMA, NAKUL",4.601213143565179,4.096681334234949,4.52149732009721,3.316623750830005,427
COMS4995,"BAUER, DANIEL",3.6007721189631754,4.345766047244727,3.096636236242124,3.251829839708726,259
COMS4995,"PE'ER, ITSIK",3.17988900440531,3.745099878399259,3.836065246800368,3.1196473964117244,250
COMS4995,"BAREINBOIM, ELIAS",3.56805232642884,3.7720570483007743,4.0358435372767945,4.092046389022325,477
COMS4995,"BLUMBERG, ANDREW J",4.360970037601077,4.61945472860341,4.8018491474090865,4.805718324725364,323
COMS4995,"STROUSTRUP, BJARNE",4.766064266093883,3.2682416293115715,4.979137893583103,4.216832755106941,343
COMS4995,"CHAINTREAU, AUGUSTIN",4.223960421089904,4.635134460372834,4.449308525186606,3.493515398775309,408
COMS4995,"MORRISON, JOHN R",4.8109597100426855,3.455480785002272,3.2612081313790933,3.040411587230939,292
COMS4995,"PAPADIMITRIOU, CHRISTOS H",3.5128472594597735,4.390524696354893,3.2591088571142377,3.9528273668472593,227
COMS4995,"SWINEHART, CHRISTIAN",4.459486888222669,4.856187543746084,3.9580504296979697,3.6611545881396026,385
COMS4995,"DRORI, IDDO",3.2704366371124234,3.818923176814967,4.996671611725927,3.5874762687445365,339
COMS4995,"LEVINE, MICHELLE F",4.946838901324651,3.3011045905777956,4.576412298290674,3.6509239102777378,283
COMS4995,"LIM, YONGWHAN",3.3330693549938033,4.758537705097672,4.220399163463919,4.4690185248866605,342
COMS4995,"PAPPU, VIJAY",4.984098517442899,4.261667996545733,4.247573520671578,3.405514306132434,472
COMS6111,"GRAVANO, LUIS",3.426637138186594,3.5461871483680905,3.7166778463402275,3.5517777690497083,448
